run_id,snapshot_date,flag_code,severity,column_name,occurrences
20241015__9eb7c1156472,2024-10-15,NULL_COMMERCIAL_NAME,INFO,commercial_name,8067
20241016__ee067cc5bee0,2024-10-16,NULL_COMMERCIAL_NAME,INFO,commercial_name,7923
20241015__9eb7c1156472,2024-10-15,NULL_DESCRIPTION,INFO,description,4415
20241016__ee067cc5bee0,2024-10-16,NULL_DESCRIPTION,INFO,description,4344
20241015__9eb7c1156472,2024-10-15,NEGATIVE_AMOUNT,INFO,amount,1034
20241016__ee067cc5bee0,2024-10-16,NEGATIVE_AMOUNT,INFO,amount,989
20241015__9eb7c1156472,2024-10-15,ZERO_AMOUNT,INFO,amount,940
20241016__ee067cc5bee0,2024-10-16,ZERO_AMOUNT,INFO,amount,903
20241015__9eb7c1156472,2024-10-15,KEY_AMBIGUOUS,WARNING,movement_key,220
20241016__ee067cc5bee0,2024-10-16,KEY_AMBIGUOUS,WARNING,movement_key,202
